dataset,model,mode,tail_it1_pct,tail_it2_pct,tail_it3_pct,tail_it4_pct,tail_it5_pct,head_it1_pct,head_it2_pct,head_it3_pct,head_it4_pct,head_it5_pct,overall_it1_pct,overall_it2_pct,overall_it3_pct,overall_it4_pct,overall_it5_pct,it1_tail_gap,it1_head_gap,it2_tail_gap,it2_head_gap,it3_tail_gap,it3_head_gap,it4_tail_gap,it4_head_gap,it5_tail_gap,it5_head_gap,overall_trend_pp,final_overall_pct
YAGO3-10,boxe,replace,25.90,45.80,53.30,45.80,53.30,17.80,12.00,12.80,12.00,12.80,21.90,28.90,33.10,28.90,33.10,,,,,,,,,,,11.20,33.10
YAGO3-10,complex,replace,46.30,32.10,59.70,32.10,59.70,34.00,34.10,37.60,34.10,37.60,40.10,33.10,48.70,33.10,48.70,,,,,,,,,,,8.60,48.70
YAGO3-10,hake_both,replace,80.40,13.40,83.10,13.40,83.10,31.70,26.10,32.90,26.10,32.90,56.00,19.80,58.00,19.80,58.00,,,,,,,,,,,2.00,58.00
YAGO3-10,hole,replace,25.70,43.60,50.40,43.60,50.40,20.00,24.30,25.70,24.30,25.70,22.80,34.00,38.10,34.00,38.10,,,,,,,,,,,15.30,38.10
YAGO3-10,quate,replace,61.60,17.60,74.00,17.60,74.00,51.30,36.80,58.30,36.80,58.30,56.50,27.20,66.20,27.20,66.20,,,,,,,,,,,9.70,66.20
YAGO3-10,rotate,replace,10.80,47.80,52.30,47.80,52.30,23.10,63.90,69.00,63.90,69.00,16.90,55.80,60.70,55.80,60.70,,,,,,,,,,,43.80,60.70
YAGO3-10,rotpro,replace,10.20,42.60,49.50,42.60,49.50,22.50,55.00,59.60,55.00,59.60,16.30,48.80,54.50,48.80,54.50,,,,,,,,,,,38.20,54.50
YAGO3-10,toruse_eL2,replace,19.40,45.10,47.50,45.10,47.50,16.50,18.90,21.60,18.90,21.60,17.90,32.00,34.60,32.00,34.60,,,,,,,,,,,16.70,34.60
YAGO3-10,transe,replace,32.70,51.00,50.60,51.00,50.60,7.00,7.50,6.70,7.50,6.70,19.80,29.20,28.60,29.20,28.60,,,,,,,,,,,8.80,28.60
YAGO3-10,tucker,replace,30.70,41.80,52.50,41.80,52.50,32.50,28.50,27.10,28.50,27.10,31.60,35.10,39.80,35.10,39.80,,,,,,,,,,,8.20,39.80
